S.No.,Pin Code,City Name,State,Country,Is Active
540,141122,Ludhiana,Punjab,India,TRUE
541,141123,Ludhiana,Punjab,India,TRUE
542,141125,Ludhiana,Punjab,India,TRUE
543,141126,Ludhiana,Punjab,India,TRUE
544,141127,Ludhiana,Punjab,India,TRUE
545,141201,Ludhiana,Punjab,India,TRUE
546,141202,Ludhiana,Punjab,India,TRUE
547,141203,Ludhiana,Punjab,India,TRUE
548,141204,Ludhiana,Punjab,India,TRUE
549,141205,Ludhiana,Punjab,India,TRUE
550,141206,Ludhiana,Punjab,India,TRUE
551,141309,Kapurthala,Punjab,India,TRUE
552,141401,khanna,Punjab,India,TRUE
553,141411,Patiala,Punjab,India,TRUE
554,141412,khanna,Punjab,India,TRUE
555,141413,Ludhiana,Punjab,India,TRUE
556,141414,Ludhiana,Punjab,India,TRUE
557,141415,Ludhiana,Punjab,India,TRUE
558,141416,Ludhiana,Punjab,India,TRUE
559,141417,Ludhiana,Punjab,India,TRUE
560,141418,Ludhiana,Punjab,India,TRUE
561,141419,Ludhiana,Punjab,India,TRUE
562,141421,Ludhiana,Punjab,India,TRUE
563,141422,Ludhiana,Punjab,India,TRUE
564,141801,Patiala,Punjab,India,TRUE
565,142001,Moga,Punjab,India,TRUE
566,142002,Moga,Punjab,India,TRUE
567,142003,Moga,Punjab,India,TRUE
568,142011,Moga,Punjab,India,TRUE
569,142021,Ludhiana,Punjab,India,TRUE
570,142022,Ludhiana,Punjab,India,TRUE
571,142023,Ludhiana,Punjab,India,TRUE
572,142024,Ludhiana,Punjab,India,TRUE
573,142025,Jagraon,Punjab,India,TRUE
574,142026,Jagraon,Punjab,India,TRUE
575,142027,Ludhiana,Punjab,India,TRUE
576,142028,Ludhiana,Punjab,India,TRUE
577,142029,Ludhiana,Punjab,India,TRUE
578,142030,Ludhiana,Punjab,India,TRUE
579,142031,Ludhiana,Punjab,India,TRUE
580,142032,Ludhiana,Punjab,India,TRUE
581,142033,Ludhiana,Punjab,India,TRUE
582,142034,Ludhiana,Punjab,India,TRUE
583,142035,Ludhiana,Punjab,India,TRUE
584,142036,Jagraon,Punjab,India,TRUE
585,142037,Moga,Punjab,India,TRUE
586,142038,Moga,Punjab,India,TRUE
587,142039,Moga,Punjab,India,TRUE
